"image_path","ocr_path","character_count","line_count","status"
"tongyi/BHYY-GEO-DX-001_tongyi_Q01_R3_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q01_R3_20260825.txt","1799","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q01_R4_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q01_R4_20260825.txt","1652","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q01_R5_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q01_R5_20260825.txt","1857","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q02_R1_20260824.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q02_R1_20260824.txt","1797","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q02_R2_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q02_R2_20260825.txt","1607","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q02_R3_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q02_R3_20260825.txt","1826","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q02_R4_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q02_R4_20260825.txt","1691","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q02_R5_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q02_R5_20260825.txt","1576","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q03_R1_20260824.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q03_R1_20260824.txt","1848","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q03_R2_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q03_R2_20260825.txt","2534","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q03_R3_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q03_R3_20260825.txt","2309","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q03_R4_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q03_R4_20260825.txt","2487","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q03_R5_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q03_R5_20260825.txt","2008","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q04_R1_20260824.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q04_R1_20260824.txt","1840","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q04_R2_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q04_R2_20260825.txt","2093","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q04_R3_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q04_R3_20260825.txt","2127","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q04_R4_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q04_R4_20260825.txt","2081","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q04_R5_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q04_R5_20260825.txt","623","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q05_R1_20260824.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q05_R1_20260824.txt","1929","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q05_R2_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q05_R2_20260825.txt","2212","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q05_R3_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q05_R3_20260825.txt","1808","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q05_R4_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q05_R4_20260825.txt","1958","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_Q05_R5_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_Q05_R5_20260825.txt","1886","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_S01_R0_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_S01_R0_20260825.txt","1553","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_S02_R0_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_S02_R0_20260825.txt","1149","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_S03_R0_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_S03_R0_20260825.txt","243","System.Object[]","completed"
"tongyi/BHYY-GEO-DX-001_tongyi_S04_R0_20260825.jpg","tongyi/BHYY-GEO-DX-001_tongyi_S04_R0_20260825.txt","1508","System.Object[]","completed"
